bytecode_version=7
opcode_cost_table_version=7
entries=109
index	name	table_base	effective_base	dynamic_work
000	LoadI32	1	fixed	fixed
001	LoadBool	1	fixed	fixed
002	Move	1	fixed	fixed
003	Add	1	fixed	fixed
004	Sub	1	fixed	fixed
005	Mul	1	fixed	fixed
006	CompareEq	1	fixed	fixed
007	Jump	1	fixed	fixed
008	JumpIfFalse	1	fixed	fixed
009	Call	1	fixed	ceil((callee_registers+2*args_count)/8)
010	Return	1	fixed	next_defer?(call:ceil((cleanup_registers+args_count)/8),other:1):0
011	ReturnVoid	1	fixed	next_defer?(call:ceil((cleanup_registers+args_count)/8),other:1):0
012	Safepoint	1	fixed	fixed
013	Yield	1	fixed	fixed
014	Trap	1	fixed	fixed
015	DeferPush	1	fixed	fixed
016	DeferPop	1	fixed	fixed
017	CleanupReturn	1	fixed	next_parent_defer?(call:ceil((cleanup_registers+args_count)/8),other:1):0
018	HostCall	1	fixed	fixed
019	StateOldGet	1	fixed	fixed
020	StateNewCreate	1	fixed	fixed
021	StateNewSet	1	fixed	fixed
022	StateReplace	1	fixed	fixed
023	StateDelete	1	fixed	fixed
024	EnumNew	1	fixed	binary_search_fuel(enum_variant_index_entries)
025	EnumTag	1	fixed	fixed
026	EnumPayload	1	fixed	fixed
027	StatePreserve	1	fixed	fixed
028	StateFinish	1	fixed	fixed
029	StateOldFieldGet	1	fixed	fixed
030	StateHandleResolve	1	fixed	fixed
031	StateHandleIsAlive	1	fixed	fixed
032	StateHandleStableId	1	fixed	fixed
033	StateHandleGeneration	1	fixed	fixed
034	StateHandleEqual	1	fixed	fixed
035	StateHandleHash	1	fixed	fixed
036	LoadI64	1	fixed	fixed
037	LoadF32	1	fixed	fixed
038	LoadF64	1	fixed	fixed
039	LoadRune	1	fixed	fixed
040	AddI64	1	fixed	fixed
041	SubI64	1	fixed	fixed
042	MulI64	1	fixed	fixed
043	DivI64	1	fixed	fixed
044	Div	1	fixed	fixed
045	AddF32	1	fixed	fixed
046	SubF32	1	fixed	fixed
047	MulF32	1	fixed	fixed
048	DivF32	1	fixed	fixed
049	AddF64	1	fixed	fixed
050	SubF64	1	fixed	fixed
051	MulF64	1	fixed	fixed
052	DivF64	1	fixed	fixed
053	LoadString	1	fixed	ceil(pool_bytes/32)*2
054	StringLen	1	fixed	ceil(source_bytes/32)
055	StringByteLen	1	fixed	fixed
056	StringEqual	1	fixed	ceil(min(lhs_bytes,rhs_bytes)/32)
057	StringConcat	1	fixed	ceil((lhs_bytes+rhs_bytes)/32)*2
058	StringRuneAt	1	fixed	ceil(source_bytes/32)
059	StringHash	1	fixed	fixed
060	StructNew	1	fixed	ceil(fields_count*3/8)+sum(field_recursive_hash_shape)
061	StructGet	1	fixed	binary_search_fuel(struct_field_index_entries)
062	StructWith	1	fixed	binary_search_fuel(struct_field_index_entries)+ceil(existing_fields*3/8)+sum(existing_recursive_hash_shape)+ceil(1/8)+replacement_recursive_hash_shape
063	StructEqual	1	fixed	lhs_structural_comparison_shape
064	ClassNew	1	fixed	ceil(fields_count*2/8)
065	ClassGet	1	fixed	binary_search_fuel(class_field_index_entries)
